Place,Bib-Name,Gr,Team,Comb,,Freestyle,,Classical,
,,,,Time,,,,,
,,,,,,Rank,Time,Rank,Time
1,1001-Ben Olson,12,Blaine,23:47.100,1,11:18.000,1,12:29.100,
2,1002-Joe Lynch,11,Spring Lake,25:31.000,2,11:57.000,4,13:34.000,
,,,Park,,,,,,
3,1004-James Symanski,12,Blaine,25:34.000,4,12:13.000,2,13:21.000,
4,1003-Will Omodt,11,Armstrong,25:33.300,3,12:07.000,3,13:26.300,
5,1005-Thomas Breuckman,12,Andover,26:06.800,5,12:26.000,6,13:40.800,
6,1009-CJ Young,10,Maple Grove,26:16.000,9,12:37.000,5,13:39.000,
7,1008-Ben Aoki-Sherwood,11,Armstrong,26:39.200,8,12:36.000,8,14:03.200,
8,1007-Matt Omann,12,Champlin Park,26:40.800,7,12:31.000,,10,14:09.800
9,1006-Trygg Lysne,12,Armstrong,26:42.100,6,12:27.000,,15,14:15.100
10,1015-Max Kivi,12,Maple Grove,26:50.400,16,12:58.000,7,13:52.400,
11,1012-Sam Theisen,11,Armstrong,26:54.100,12,12:44.000,,12,14:10.100
12,1010-Jack Meinert,11,Armstrong,27:03.800,10,12:40.000,,18,14:23.800
13,1016-Mark Scheller,10,Champlin Park,27:08.100,15,12:58.000,,11,14:10.100
14,1011-Sam Himes,12,Armstrong,27:25.300,11,12:41.000,,28,14:44.300
15,1013-Roger Anderson,9,Armstrong,27:27.100,13,12:47.000,,26,14:40.100
16,1017-Michael Symanski,12,Blaine,27:31.800,17,13:02.000,,19,14:29.800
17,1024-Tommy Brandes,10,Armstrong,27:32.800,24,13:11.000,,16,14:21.800
18,1030-Spenser Brown,12,Irondale,27:32.300,30,13:26.000,9,14:06.300,
19,1028-Mitch Zandaroski,12,Coon Rapids,27:35.800,28,13:23.000,,14,14:12.800
http://www.gopherstateevents.com/results/cc_rslts/cc_rslts.asp?sport=Nordic%20Ski&meet_id=457&rslts_page=overall_rslts.asp&show_indiv=n,,,,,,,,,2/9
1/31/2018,,,Gopher State Events Cross-Country Results,,,,,
20,1018-Nicholas Jacobson,11,Blaine,27:38.200,18,13:05.000,23,14:33.200
,Gopher State Events,,,,,,,
21,1020-Noah Haaf,12,Elk River,27:45.000,20,13:08.000,24,14:37.000
22,1023-Ethan Anderson,11,Elk River,27:51.000,23,13:10.000,27,14:41.000
23,1029-Jadon Purcell,10,Elk River,27:55.900,29,13:24.000,22,14:31.900
24,1036-Noah Adams,12,Elk River,27:55.900,36,13:45.000,13,14:10.900
25,1034-Arik Spaude,12,Champlin Park,28:01.200,34,13:39.000,17,14:22.200
26,1014-Nicholas Kjome,10,Osseo,28:06.300,14,12:57.000,36,15:09.300
27,1026-Ricky Petroff,9,Coon Rapids,28:08.000,26,13:21.000,29,14:47.000
28,1021-Connor Janostin,12,Champlin Park,28:08.300,21,13:09.000,31,14:59.300
29,1031-Phillip Marquardt,11,Blaine,28:09.100,31,13:30.000,25,14:39.100
30,1022-Jared Heida,10,Coon Rapids,28:12.000,22,13:09.000,32,15:03.000
31,1035-Sean Neeser,12,Anoka,28:15.700,35,13:44.000,20,14:31.700
32,1032-Owen Eerdmans,10,Champlin Park,28:17.300,32,13:30.000,30,14:47.300
33,1019-Declan Rodefeld,9,Irondale,28:19.800,19,13:07.000,37,15:12.800
34,1052-Blake Weiss,10,Andover,28:41.800,52,14:10.000,21,14:31.800
35,1025-Nate Gahr,11,Irondale,28:42.500,25,13:16.000,42,15:26.500
36,1033-Vaughn Thomas,12,Osseo,28:43.100,33,13:34.000,35,15:09.100
37,1027-Carlos Momsen,10,Irondale,28:43.100,27,13:22.000,41,15:21.100
38,1042-Cel Massmann,11,Armstrong,28:59.800,42,13:56.000,33,15:03.800
39,1039-Tyler Burkum,11,Maple Grove,29:02.100,39,13:48.000,38,15:14.100
40,1038-Carter Weinzierl,12,Andover,29:02.700,38,13:47.000,40,15:15.700
41,1047-Carter Crawford,11,Armstrong,29:13.300,47,14:06.000,34,15:07.300
42,1037-Paul Breitbach,12,Coon Rapids,29:29.300,37,13:47.000,46,15:42.300
