Michigan Tech CXC Junior Cup 2017 - Classic Mass Start,,,,,,,,
Results - 12/17/2017,,,,,,,,
Rank,Bib,Name,Class,USSA#,FIS#,5K,10K,Finish
Men Master/Senior/U20/U18 15K Male,,,,,,,,
1,3,Zak Ketterson,MU23,6429793,3530835,0:14:22.5,0:29:42.7,0:45:16.2
,,Northern Michigan University,,,,,,
2,1,Ian Torchia,MU23,6484692,3530814,0:14:21.9,0:29:42.6,0:45:21.3
,,Northern Michigan University,,,,,,
3,22,Lars Soensterud,MU23,,3422952,0:14:23.7,0:29:43.7,0:45:45.1
,,Northern Michigan University,,,,,,
4,9,Kjetil Banerud,MU23,,3422968,0:14:25.7,0:29:57.0,0:46:19.6
,,Northern Michigan University,,,,,,
5,36,Mathias Rolid,MU23,,3422644,0:14:56.2,0:30:57.1,0:47:06.3
,,Northern Michigan University,,,,,,
6,4,Gaspard Cuenot,MSr,,3510413,0:14:49.0,0:30:57.5,0:47:14.1
,,Michigan Tech University,,,,,,
7,19,Tamer Mische-Richter,MU23,6386295,3530873,0:14:54.6,0:30:58.3,0:47:19.8
,,College of Saint Scholastica,,,,,,
8,15,Reid Goble,MU20,6550854,3530904,0:14:55.4,0:31:24.5,0:48:41.1
,,Michigan Tech University,,,,,,
9,12,Leo Hipp,MU23,6485069,3530859,0:15:06.8,0:31:54.0,0:48:54.3
,,Northern Michigan University,,,,,,
10,8,Patrick Acton,MU20,6532637,,0:15:32.6,0:32:01.3,0:48:58.2
,,Michigan Tech University,,,,,,
11,20,Jack Christianson,MU23,6564341,,0:15:13.0,0:31:55.0,0:49:01.4
,,College of Saint Scholastica,,,,,,
12,80,Olav Vestoel,MSr,,3424098,0:15:33.1,0:32:00.5,0:49:04.4
,,Michigan Tech University,,,,,,
13,7,Sam Elfstrom,MSr,6372814,3530732,0:15:16.4,0:31:54.4,0:49:22.9
,,CXC Team,,,,,,
14,6,Thomas Bye,MU23,6464973,3530771,0:14:54.1,0:31:24.1,0:49:40.9
,,Michigan Tech University,,,,,,
15,44,Alex Nemeth,MU18,6665830,3531001,0:16:06.9,0:32:54.4,0:49:58.3
,,Loppet Nordic Racing,,,,,,
16,10,Mitchell DeLong,MU20,6547480,3530898,0:15:33.5,0:32:11.2,0:49:59.4
,,Michigan Tech University,,,,,,
17,31,Daniel Wood,MU23,6521857,3530880,0:16:01.9,0:32:39.1,0:49:59.7
,,Michigan Tech University,,,,,,
18,29,Dan DeLestry,MU23,6460856,,0:15:44.9,0:32:43.8,0:50:02.8
,,College of Saint Scholastica,,,,,,
19,11,Alex Vanias,MSr,,3230114,0:15:38.7,0:32:40.0,0:50:06.3
,,Esperos Ski Team,,,,,,
20,25,Jacob Ajax,MU23,6466440,,0:15:24.7,0:32:20.1,0:50:31.9
,,University of Wisconsin - Green Bay,,,,,,
21,50,Mitchell Hollman,MU23,6713670,3530914,0:16:07.0,0:33:05.8,0:50:37.2
,,Air Force Nordic,,,,,,
22,26,Ben Olson,MU18,6645188,,0:16:08.3,0:33:08.6,0:50:37.8
,,Loppet Nordic Racing,,,,,,
23,33,Somer Schrock,MU23,6045629,100340,0:15:55.6,0:33:05.5,0:50:38.8
,,Michigan Tech University,,,,,,
24,45,Mark Ousdigian,MU20,6665798,,,,0:50:45.9
www.SuperiorTiming.com,,,12/20/2017 20:50,,,,,1
Michigan Tech CXC Junior Cup 2017 - Classic Mass Start,,,,,,,,
Results - 12/17/2017,,,,,,,,
Rank,Bib,Name,Class,USSA#,FIS#,5K,10K,Finish
25,30,Isaac Wieber,MU23,6568394,,0:15:45.6,0:33:04.8,0:50:48.9
,,College of Saint Scholastica,,,,,,
26,14,Luc Golin,MU20,6601591,3531020,0:16:01.1,0:33:03.5,0:50:49.3
,,Loppet Nordic Racing,,,,,,
27,129,Thomas Kendrick,MSr,,,0:16:26.6,0:33:29.2,0:50:49.4
,,MYSL/EWRP,,,,,,
